First Word,Second Word,Similarity
suo,lume,0.369
suo,mente,0.207
suo,luce,0.25
suo,nostro,0.726
suo,mio,0.504
suo,volgere,0.422
suo,mondo,0.424
suo,dolce,0.553
suo,vista,0.243
suo,viso,0.173
non,lume,0.208
non,mente,0.423
non,luce,0.074
non,nostro,0.338
non,mio,0.258
non,volgere,0.048
non,mondo,0.399
non,dolce,0.309
non,vista,0.538
non,viso,0.297
fare,lume,0.542
fare,mente,0.674
fare,luce,0.418
fare,nostro,0.499
fare,mio,0.267
fare,volgere,0.355
fare,mondo,0.507
fare,dolce,0.539
fare,vista,0.766
fare,viso,0.602
tuo,lume,0.153
tuo,mente,0.456
tuo,luce,0.152
tuo,nostro,0.593
tuo,mio,0.765
tuo,volgere,0.495
tuo,mondo,0.22
tuo,dolce,0.736
tuo,vista,0.619
tuo,viso,0.387
mio,lume,-0.075
mio,mente,0.388
mio,luce,0.05
mio,nostro,0.5
mio,mio,1.0
mio,volgere,0.699
mio,mondo,-0.044
mio,dolce,0.758
mio,vista,0.467
mio,viso,0.423
amore,lume,0.669
amore,mente,0.551
amore,luce,0.692
amore,nostro,0.431
amore,mio,0.175
amore,volgere,0.328
amore,mondo,0.555
amore,dolce,0.47
amore,vista,0.551
amore,viso,0.464
altro,lume,0.647
altro,mente,0.043
altro,luce,0.538
altro,nostro,0.486
altro,mio,-0.048
altro,volgere,0.154
altro,mondo,0.525
altro,dolce,0.184
altro,vista,-0.004
altro,viso,0.071
tutto,lume,0.747
tutto,mente,0.193
tutto,luce,0.614
tutto,nostro,0.288
tutto,mio,-0.179
tutto,volgere,0.117
tutto,mondo,0.61
tutto,dolce,0.178
tutto,vista,0.123
tutto,viso,0.183
son,lume,0.169
son,mente,0.589
son,luce,0.214
son,nostro,0.315
son,mio,0.501
son,volgere,0.442
son,mondo,0.108
son,dolce,0.558
son,vista,0.675
son,viso,0.58
sapere,lume,0.122
sapere,mente,0.477
sapere,luce,0.039
sapere,nostro,0.333
sapere,mio,0.323
sapere,volgere,0.19
sapere,mondo,0.264
sapere,dolce,0.424
sapere,vista,0.605
sapere,viso,0.4
