First Word,Second Word,Similarity
essere,amore,0.553
essere,Beatrice,0.521
essere,core,0.636
essere,amare,0.776
essere,affetto,0.598
essere,dolce,0.479
essere,bello,0.273
essere,bellezza,0.593
essere,donna,0.254
essere,sposa,0.737
essere,disio,0.509
essere,carne,0.72
vedere,amore,0.355
vedere,Beatrice,0.635
vedere,core,0.724
vedere,amare,0.73
vedere,affetto,0.635
vedere,dolce,0.4
vedere,bello,0.437
vedere,bellezza,0.614
vedere,donna,0.372
vedere,sposa,0.712
vedere,disio,0.538
vedere,carne,0.704
non,amore,0.248
non,Beatrice,0.584
non,core,0.532
non,amare,0.68
non,affetto,0.395
non,dolce,0.309
non,bello,0.176
non,bellezza,0.403
non,donna,0.156
non,sposa,0.627
non,disio,0.378
non,carne,0.569
andare,amore,0.355
andare,Beatrice,0.591
andare,core,0.623
andare,amare,0.708
andare,affetto,0.559
andare,dolce,0.515
andare,bello,0.346
andare,bellezza,0.483
andare,donna,0.198
andare,sposa,0.641
andare,disio,0.496
andare,carne,0.548
sol,amore,0.643
sol,Beatrice,0.596
sol,core,0.828
sol,amare,0.756
sol,affetto,0.808
sol,dolce,0.446
sol,bello,0.53
sol,bellezza,0.797
sol,donna,0.398
sol,sposa,0.803
sol,disio,0.678
sol,carne,0.808
tempo,amore,0.467
tempo,Beatrice,0.732
tempo,core,0.772
tempo,amare,0.826
tempo,affetto,0.698
tempo,dolce,0.472
tempo,bello,0.401
tempo,bellezza,0.704
tempo,donna,0.425
tempo,sposa,0.844
tempo,disio,0.675
tempo,carne,0.846
cosa,amore,0.367
cosa,Beatrice,0.792
cosa,core,0.684
cosa,amare,0.832
cosa,affetto,0.603
cosa,dolce,0.5
cosa,bello,0.492
cosa,bellezza,0.592
cosa,donna,0.479
cosa,sposa,0.778
cosa,disio,0.622
cosa,carne,0.741
lasciare,amore,0.434
lasciare,Beatrice,0.649
lasciare,core,0.792
lasciare,amare,0.845
lasciare,affetto,0.712
lasciare,dolce,0.451
lasciare,bello,0.313
lasciare,bellezza,0.748
lasciare,donna,0.295
lasciare,sposa,0.858
lasciare,disio,0.671
lasciare,carne,0.814
Cristo,amore,0.575
Cristo,Beatrice,0.774
Cristo,core,0.896
Cristo,amare,0.948
Cristo,affetto,0.829
Cristo,dolce,0.534
Cristo,bello,0.502
Cristo,bellezza,0.855
Cristo,donna,0.406
Cristo,sposa,0.962
Cristo,disio,0.725
Cristo,carne,0.912
mio,amore,0.175
mio,Beatrice,0.485
mio,core,0.266
mio,amare,0.505
mio,affetto,0.338
mio,dolce,0.758
mio,bello,0.666
mio,bellezza,0.231
mio,donna,0.286
mio,sposa,0.365
mio,disio,0.32
mio,carne,0.225
