First Word,Second Word,Similarity
avere,gente,0.577
avere,persona,0.657
avere,potere,0.713
avere,mondo,0.463
avere,città,0.734
avere,duca,0.318
avere,maestro,0.413
avere,legge,0.726
avere,regno,0.626
avere,principe,0.655
avere,pace,0.634
non,gente,0.642
non,persona,0.5
non,potere,0.835
non,mondo,0.399
non,città,0.605
non,duca,0.359
non,maestro,0.531
non,legge,0.563
non,regno,0.46
non,principe,0.467
non,pace,0.472
potere,gente,0.576
potere,persona,0.452
potere,potere,1.0
potere,mondo,0.229
potere,città,0.614
potere,duca,0.419
potere,maestro,0.587
potere,legge,0.522
potere,regno,0.356
potere,principe,0.438
potere,pace,0.388
grazia,gente,0.653
grazia,persona,0.749
grazia,potere,0.494
grazia,mondo,0.662
grazia,città,0.789
grazia,duca,0.21
grazia,maestro,0.289
grazia,legge,0.841
grazia,regno,0.832
grazia,principe,0.805
grazia,pace,0.855
mio,gente,0.08
mio,persona,0.166
mio,potere,0.281
mio,mondo,-0.044
mio,città,0.356
mio,duca,0.477
mio,maestro,0.424
mio,legge,0.28
mio,regno,0.155
mio,principe,0.284
mio,pace,0.196
Dio,gente,0.476
Dio,persona,0.503
Dio,potere,0.733
Dio,mondo,0.341
Dio,città,0.655
Dio,duca,0.425
Dio,maestro,0.537
Dio,legge,0.614
Dio,regno,0.492
Dio,principe,0.546
Dio,pace,0.52
santo,gente,0.372
santo,persona,0.665
santo,potere,0.053
santo,mondo,0.421
santo,città,0.668
santo,duca,0.277
santo,maestro,0.179
santo,legge,0.72
santo,regno,0.738
santo,principe,0.774
santo,pace,0.71
parere,gente,0.679
parere,persona,0.82
parere,potere,0.461
parere,mondo,0.5
parere,città,0.838
parere,duca,0.372
parere,maestro,0.415
parere,legge,0.815
parere,regno,0.833
parere,principe,0.787
parere,pace,0.786
parlare,gente,0.448
parlare,persona,0.58
parlare,potere,0.759
parlare,mondo,0.201
parlare,città,0.737
parlare,duca,0.798
parlare,maestro,0.882
parlare,legge,0.595
parlare,regno,0.465
parlare,principe,0.508
parlare,pace,0.562
donna,gente,0.172
donna,persona,0.589
donna,potere,0.131
donna,mondo,0.227
donna,città,0.594
donna,duca,0.792
donna,maestro,0.685
donna,legge,0.513
donna,regno,0.506
donna,principe,0.513
donna,pace,0.589
