First Word,Second Word,Similarity
essere,gente,0.542
essere,persona,0.601
essere,potere,0.66
essere,mondo,0.529
essere,città,0.702
essere,duca,0.283
essere,maestro,0.409
essere,legge,0.696
essere,regno,0.615
essere,principe,0.605
essere,pace,0.64
vedere,gente,0.722
vedere,persona,0.721
vedere,potere,0.547
vedere,mondo,0.468
vedere,città,0.7
vedere,duca,0.32
vedere,maestro,0.43
vedere,legge,0.713
vedere,regno,0.68
vedere,principe,0.685
vedere,pace,0.603
non,gente,0.642
non,persona,0.5
non,potere,0.835
non,mondo,0.399
non,città,0.605
non,duca,0.359
non,maestro,0.531
non,legge,0.563
non,regno,0.46
non,principe,0.467
non,pace,0.472
andare,gente,0.671
andare,persona,0.655
andare,potere,0.604
andare,mondo,0.321
andare,città,0.694
andare,duca,0.395
andare,maestro,0.517
andare,legge,0.65
andare,regno,0.599
andare,principe,0.582
andare,pace,0.534
sol,gente,0.743
sol,persona,0.849
sol,potere,0.364
sol,mondo,0.695
sol,città,0.763
sol,duca,0.179
sol,maestro,0.253
sol,legge,0.83
sol,regno,0.888
sol,principe,0.813
sol,pace,0.807
tempo,gente,0.718
tempo,persona,0.723
tempo,potere,0.675
tempo,mondo,0.706
tempo,città,0.772
tempo,duca,0.403
tempo,maestro,0.54
tempo,legge,0.793
tempo,regno,0.747
tempo,principe,0.717
tempo,pace,0.728
cosa,gente,0.68
cosa,persona,0.657
cosa,potere,0.826
cosa,mondo,0.395
cosa,città,0.767
cosa,duca,0.547
cosa,maestro,0.682
cosa,legge,0.681
cosa,regno,0.602
cosa,principe,0.623
cosa,pace,0.619
lasciare,gente,0.698
lasciare,persona,0.743
lasciare,potere,0.717
lasciare,mondo,0.507
lasciare,città,0.835
lasciare,duca,0.356
lasciare,maestro,0.474
lasciare,legge,0.843
lasciare,regno,0.746
lasciare,principe,0.791
lasciare,pace,0.77
Cristo,gente,0.751
Cristo,persona,0.82
Cristo,potere,0.686
Cristo,mondo,0.595
Cristo,città,0.908
Cristo,duca,0.375
Cristo,maestro,0.467
Cristo,legge,0.929
Cristo,regno,0.847
Cristo,principe,0.901
Cristo,pace,0.853
mio,gente,0.08
mio,persona,0.166
mio,potere,0.281
mio,mondo,-0.044
mio,città,0.356
mio,duca,0.477
mio,maestro,0.424
mio,legge,0.28
mio,regno,0.155
mio,principe,0.284
mio,pace,0.196
