First Word,Second Word,Similarity
lume,pena,0.548
lume,punire,0.634
lume,colpa,0.604
lume,inferno,0.708
lume,appressare,0.712
lume,giusto,0.654
lume,purgare,0.666
mente,pena,0.594
mente,punire,0.669
mente,colpa,0.731
mente,inferno,0.672
mente,appressare,0.637
mente,giusto,0.698
mente,purgare,0.585
luce,pena,0.41
luce,punire,0.506
luce,colpa,0.471
luce,inferno,0.584
luce,appressare,0.596
luce,giusto,0.531
luce,purgare,0.502
nostro,pena,0.58
nostro,punire,0.575
nostro,colpa,0.575
nostro,inferno,0.584
nostro,appressare,0.643
nostro,giusto,0.624
nostro,purgare,0.586
mio,pena,0.421
mio,punire,0.346
mio,colpa,0.343
mio,inferno,0.288
mio,appressare,0.356
mio,giusto,0.381
mio,purgare,0.309
volgere,pena,0.531
volgere,punire,0.469
volgere,colpa,0.415
volgere,inferno,0.481
volgere,appressare,0.524
volgere,giusto,0.471
volgere,purgare,0.429
mondo,pena,0.45
mondo,punire,0.515
mondo,colpa,0.604
mondo,inferno,0.571
mondo,appressare,0.583
mondo,giusto,0.585
mondo,purgare,0.567
dolce,pena,0.616
dolce,punire,0.589
dolce,colpa,0.584
dolce,inferno,0.573
dolce,appressare,0.62
dolce,giusto,0.636
dolce,purgare,0.575
vista,pena,0.682
vista,punire,0.73
vista,colpa,0.815
vista,inferno,0.698
vista,appressare,0.692
vista,giusto,0.778
vista,purgare,0.641
viso,pena,0.603
viso,punire,0.647
viso,colpa,0.661
viso,inferno,0.659
viso,appressare,0.633
viso,giusto,0.652
viso,purgare,0.564
