First Word,Second Word,Similarity
lume,amore,0.669
lume,Beatrice,0.467
lume,core,0.73
lume,amare,0.562
lume,affetto,0.747
lume,dolce,0.322
lume,bello,0.467
lume,bellezza,0.77
lume,donna,0.528
lume,sposa,0.674
lume,disio,0.646
lume,carne,0.776
mente,amore,0.551
mente,Beatrice,0.864
mente,core,0.711
mente,amare,0.678
mente,affetto,0.757
mente,dolce,0.624
mente,bello,0.6
mente,bellezza,0.672
mente,donna,0.86
mente,sposa,0.679
mente,disio,0.845
mente,carne,0.751
luce,amore,0.692
luce,Beatrice,0.449
luce,core,0.602
luce,amare,0.48
luce,affetto,0.7
luce,dolce,0.389
luce,bello,0.494
luce,bellezza,0.653
luce,donna,0.626
luce,sposa,0.525
luce,disio,0.647
luce,carne,0.657
nostro,amore,0.431
nostro,Beatrice,0.501
nostro,core,0.536
nostro,amare,0.689
nostro,affetto,0.602
nostro,dolce,0.584
nostro,bello,0.535
nostro,bellezza,0.532
nostro,donna,0.219
nostro,sposa,0.629
nostro,disio,0.436
nostro,carne,0.531
mio,amore,0.175
mio,Beatrice,0.485
mio,core,0.266
mio,amare,0.505
mio,affetto,0.338
mio,dolce,0.758
mio,bello,0.666
mio,bellezza,0.231
mio,donna,0.286
mio,sposa,0.365
mio,disio,0.32
mio,carne,0.225
volgere,amore,0.328
volgere,Beatrice,0.621
volgere,core,0.469
volgere,amare,0.522
volgere,affetto,0.593
volgere,dolce,0.728
volgere,bello,0.64
volgere,bellezza,0.479
volgere,donna,0.588
volgere,sposa,0.481
volgere,disio,0.579
volgere,carne,0.41
mondo,amore,0.555
mondo,Beatrice,0.347
mondo,core,0.615
mondo,amare,0.509
mondo,affetto,0.562
mondo,dolce,0.222
mondo,bello,0.254
mondo,bellezza,0.578
mondo,donna,0.227
mondo,sposa,0.583
mondo,disio,0.486
mondo,carne,0.653
dolce,amore,0.47
dolce,Beatrice,0.667
dolce,core,0.571
dolce,amare,0.699
dolce,affetto,0.655
dolce,dolce,1.0
dolce,bello,0.729
dolce,bellezza,0.559
dolce,donna,0.585
dolce,sposa,0.63
dolce,disio,0.628
dolce,carne,0.552
vista,amore,0.551
vista,Beatrice,0.877
vista,core,0.729
vista,amare,0.776
vista,affetto,0.768
vista,dolce,0.722
vista,bello,0.534
vista,bellezza,0.689
vista,donna,0.812
vista,sposa,0.751
vista,disio,0.867
vista,carne,0.781
viso,amore,0.464
viso,Beatrice,0.866
viso,core,0.687
viso,amare,0.63
viso,affetto,0.747
viso,dolce,0.632
viso,bello,0.621
viso,bellezza,0.652
viso,donna,0.887
viso,sposa,0.642
viso,disio,0.849
viso,carne,0.682
