First Word,Second Word,Similarity
suo,pena,0.54
suo,punire,0.487
suo,colpa,0.473
suo,inferno,0.505
suo,appressare,0.579
suo,giusto,0.531
suo,purgare,0.557
non,pena,0.563
non,punire,0.625
non,colpa,0.718
non,inferno,0.533
non,appressare,0.489
non,giusto,0.654
non,purgare,0.562
fare,pena,0.718
fare,punire,0.795
fare,colpa,0.846
fare,inferno,0.753
fare,appressare,0.752
fare,giusto,0.834
fare,purgare,0.757
tuo,pena,0.615
tuo,punire,0.561
tuo,colpa,0.617
tuo,inferno,0.48
tuo,appressare,0.567
tuo,giusto,0.623
tuo,purgare,0.531
mio,pena,0.421
mio,punire,0.346
mio,colpa,0.343
mio,inferno,0.288
mio,appressare,0.356
mio,giusto,0.381
mio,purgare,0.309
amore,pena,0.601
amore,punire,0.619
amore,colpa,0.588
amore,inferno,0.631
amore,appressare,0.689
amore,giusto,0.65
amore,purgare,0.612
altro,pena,0.446
altro,punire,0.44
altro,colpa,0.29
altro,inferno,0.533
altro,appressare,0.602
altro,giusto,0.399
altro,purgare,0.537
tutto,pena,0.466
tutto,punire,0.491
tutto,colpa,0.38
tutto,inferno,0.591
tutto,appressare,0.601
tutto,giusto,0.452
tutto,purgare,0.597
son,pena,0.594
son,punire,0.651
son,colpa,0.59
son,inferno,0.59
son,appressare,0.571
son,giusto,0.626
son,purgare,0.574
sapere,pena,0.47
sapere,punire,0.545
sapere,colpa,0.646
sapere,inferno,0.461
sapere,appressare,0.44
sapere,giusto,0.591
sapere,purgare,0.494
